Asset_ID,Machine_Model,Location,Vibration,Temperature,Pressure,Flow_Rate,Operating_Hours,Health_Status,Remaining_Useful_Life_Hours,Fault_Type
PUMP_0301,Hydra-500,Onshore-Terminal-2,2.62,61.2,148.6,249.6,19260,Normal,5477,Valve Malfunction
PUMP_0444,Nova-P,Offshore-Platform-B,6.73,71.9,144.5,249.5,8621,Warning,1551,Shaft Misalignment
PUMP_0398,Atlas-7,Onshore-Terminal-1,2.49,62.5,140.1,251.3,28431,Normal,7712,Normal
PUMP_0461,Titan-X2,CPF-1,3.75,65.5,144.2,254.1,3382,Normal,4479,Bearing Failure
PUMP_0586,Titan-X3,Onshore-Terminal-2,3.92,57.1,148.1,251.8,25640,Warning,1505,Valve Malfunction
PUMP_0157,Atlas-7,Offshore-Platform-B,4.99,61.6,125.2,225.4,22973,Warning,683,Impeller Damage
PUMP_0401,Titan-X3,Onshore-Terminal-1,3.71,60.5,140.7,239.9,10237,Normal,2993,Valve Malfunction
PUMP_0195,Titan-X3,Offshore-Platform-A,1.47,54.9,145.0,251.8,12474,Normal,7843,Normal
PUMP_0341,Titan-X2,Offshore-Platform-B,2.18,56.9,142.9,247.0,18214,Normal,7948,Normal
PUMP_0836,Titan-X2,Onshore-Terminal-1,6.79,77.4,146.0,248.5,12576,Warning,1762,Bearing Failure
PUMP_0078,Hydra-500,Offshore-Platform-B,3.31,116.4,142.9,239.6,20701,Critical,114,Overheating
PUMP_0424,Nova-P,Onshore-Terminal-2,6.63,67.3,140.1,247.2,5427,Warning,1577,Bearing Failure
PUMP_0815,Titan-X2,Onshore-Terminal-1,3.06,75.5,138.1,232.5,22005,Normal,3603,Motor Failure
PUMP_0247,Titan-X2,Offshore-Platform-B,5.72,64.8,148.3,250.3,30551,Warning,2237,Rotor Imbalance
PUMP_0495,Hydra-500,Offshore-Platform-A,2.27,59.1,146.2,245.7,10595,Normal,9000,Normal
PUMP_0754,Titan-X3,Offshore-Platform-B,4.93,63.4,130.4,241.3,20320,Warning,872,Corrosion / Wear
PUMP_0120,Atlas-7,CPF-1,3.03,97.3,143.7,249.5,27941,Warning,1389,Overheating
PUMP_0331,Nova-P,Onshore-Terminal-2,9.42,78.0,145.7,240.2,2994,Critical,266,Bearing Failure
PUMP_0042,Titan-X2,Offshore-Platform-B,3.17,66.0,129.4,227.3,16432,Warning,1882,Seal Failure
PUMP_0182,Atlas-7,Onshore-Terminal-2,5.93,70.7,147.2,248.9,24099,Warning,2320,Shaft Misalignment
PUMP_0236,Titan-X2,CPF-1,7.4,60.6,135.1,227.5,15432,Critical,574,Coupling Failure
PUMP_0411,Atlas-7,Offshore-Platform-B,6.56,70.6,146.3,245.5,24308,Warning,1668,Shaft Misalignment
PUMP_0101,Titan-X3,Onshore-Terminal-2,6.94,61.6,136.8,241.3,14788,Warning,1280,Coupling Failure
PUMP_0309,Hydra-500,Offshore-Platform-A,3.97,116.4,139.0,235.5,19495,Critical,167,Overheating
PUMP_0822,Titan-X2,Onshore-Terminal-1,2.86,63.4,135.8,231.4,4023,Normal,4473,Suction Blockage
PUMP_0229,Nova-P,Offshore-Platform-B,1.69,65.5,146.8,247.6,20981,Normal,6248,Normal
PUMP_0091,Nova-P,Offshore-Platform-A,4.68,66.3,126.7,217.1,20436,Warning,1355,Suction Blockage
PUMP_0055,Nova-P,Onshore-Terminal-1,4.79,70.3,123.9,211.0,21779,Critical,423,Cavitation
PUMP_0310,Atlas-7,Onshore-Terminal-2,7.41,58.0,135.6,230.9,24934,Warning,669,Coupling Failure
PUMP_0770,Hydra-500,Onshore-Terminal-1,4.14,65.3,140.9,220.2,2979,Warning,1457,Cavitation
PUMP_0317,Titan-X2,Offshore-Platform-B,2.69,62.6,141.5,243.8,601,Normal,6790,Seal Failure
PUMP_0773,Atlas-7,Offshore-Platform-A,5.52,64.3,144.5,245.4,1279,Warning,2321,Shaft Misalignment
PUMP_0120,Atlas-7,CPF-1,7.21,61.3,136.7,242.8,3093,Warning,1849,Coupling Failure
PUMP_0332,Hydra-500,Onshore-Terminal-1,3.99,65.8,142.9,254.3,7901,Normal,2600,Valve Malfunction
PUMP_0725,Titan-X2,Offshore-Platform-B,3.26,58.9,147.6,249.7,12621,Normal,7072,Lubrication Failure
PUMP_0331,Nova-P,Onshore-Terminal-2,7.8,54.7,149.5,248.7,16722,Warning,1375,Rotor Imbalance
PUMP_0348,Titan-X3,Offshore-Platform-B,8.51,65.2,144.6,248.3,26737,Warning,633,Rotor Imbalance
PUMP_0094,Hydra-500,Offshore-Platform-B,3.95,62.0,136.0,229.4,19388,Warning,2162,Impeller Damage
PUMP_0255,Titan-X2,Offshore-Platform-A,1.75,60.6,148.0,244.8,13670,Normal,7913,Normal
PUMP_0263,Hydra-500,Onshore-Terminal-2,2.76,62.5,145.3,248.5,5987,Normal,7924,Normal
PUMP_0343,Titan-X2,Onshore-Terminal-2,3.11,63.8,140.0,231.7,24139,Normal,5533,Impeller Damage
PUMP_0377,Titan-X2,Onshore-Terminal-1,2.26,62.2,146.7,251.8,18180,Normal,8681,Normal
PUMP_0307,Hydra-500,Offshore-Platform-B,2.34,60.3,144.7,258.1,20162,Normal,8660,Normal
PUMP_0021,Nova-P,Onshore-Terminal-2,5.56,59.1,137.3,245.0,9629,Normal,2600,Coupling Failure
PUMP_0784,Atlas-7,Onshore-Terminal-1,2.92,80.9,143.2,249.4,23188,Normal,2937,Overheating
PUMP_0801,Atlas-7,Offshore-Platform-A,5.03,61.3,138.2,246.4,695,Warning,2193,Coupling Failure
PUMP_0264,Titan-X3,Offshore-Platform-B,6.76,78.4,144.1,253.4,4447,Warning,1206,Bearing Failure
PUMP_0414,Atlas-7,Onshore-Terminal-2,1.65,60.9,144.4,241.6,1623,Normal,7643,Motor Failure
PUMP_0562,Atlas-7,Offshore-Platform-A,4.02,58.7,141.9,252.8,23555,Normal,4728,Rotor Imbalance
PUMP_0700,Atlas-7,Onshore-Terminal-1,5.26,56.8,133.2,234.0,23594,Critical,448,Corrosion / Wear
PUMP_0239,Hydra-500,Onshore-Terminal-1,3.79,95.3,142.9,234.4,20952,Warning,727,Overheating
PUMP_0441,Titan-X3,Offshore-Platform-B,3.38,68.9,165.7,227.0,2429,Warning,2110,Discharge Blockage
PUMP_0230,Atlas-7,Onshore-Terminal-1,3.94,62.9,146.5,253.4,9056,Normal,5497,Rotor Imbalance
PUMP_0362,Titan-X3,Onshore-Terminal-2,3.92,58.7,121.4,216.5,3192,Warning,1198,Suction Blockage
PUMP_0462,Atlas-7,CPF-1,2.91,60.2,142.4,250.5,18052,Warning,2245,Valve Malfunction
PUMP_0450,Hydra-500,Offshore-Platform-B,3.58,62.5,136.8,229.0,18212,Normal,2870,Cavitation
PUMP_0615,Titan-X2,Offshore-Platform-A,2.75,59.4,146.9,250.4,12564,Normal,8609,Normal
PUMP_0559,Titan-X2,Offshore-Platform-A,3.47,54.3,130.5,214.9,5544,Warning,1966,Suction Blockage
PUMP_0348,Titan-X3,Offshore-Platform-B,3.17,69.3,146.8,248.1,27434,Normal,5323,Overheating
PUMP_0476,Titan-X2,Onshore-Terminal-2,8.46,74.7,142.6,246.8,14713,Critical,477,Shaft Misalignment
PUMP_0306,Atlas-7,Onshore-Terminal-2,3.35,61.1,137.6,240.5,26858,Normal,5796,Suction Blockage
PUMP_0524,Titan-X3,Onshore-Terminal-1,4.01,62.6,145.9,240.9,26464,Warning,1585,Valve Malfunction
PUMP_0832,Hydra-500,Onshore-Terminal-2,6.28,60.9,136.6,236.4,28132,Warning,1388,Coupling Failure
PUMP_0250,Atlas-7,Onshore-Terminal-2,3.36,65.4,143.3,262.5,3336,Warning,1876,Valve Malfunction
PUMP_0210,Titan-X2,CPF-1,3.82,70.3,142.2,247.5,10542,Normal,4950,Bearing Failure
PUMP_0771,Titan-X2,Onshore-Terminal-1,4.37,60.2,139.3,242.1,16914,Normal,4794,Coupling Failure
PUMP_0537,Nova-P,Offshore-Platform-B,3.1,62.0,147.2,247.3,20537,Normal,7551,Corrosion / Wear
PUMP_0610,Titan-X3,Onshore-Terminal-1,5.27,65.6,126.9,218.8,4643,Warning,792,Cavitation
PUMP_0229,Nova-P,Offshore-Platform-B,6.44,70.1,141.4,254.9,1762,Warning,2068,Shaft Misalignment
PUMP_0207,Titan-X2,Offshore-Platform-A,1.63,57.9,140.6,244.1,7543,Normal,7449,Normal
PUMP_0626,Hydra-500,CPF-1,6.51,68.5,143.1,249.7,13373,Warning,1316,Shaft Misalignment
PUMP_0887,Atlas-7,CPF-1,2.21,60.4,144.9,252.6,22750,Normal,7732,Normal
PUMP_0045,Atlas-7,CPF-1,3.69,83.2,125.3,216.6,12497,Warning,1775,Motor Failure
PUMP_0537,Nova-P,Offshore-Platform-B,8.06,65.1,135.0,235.3,13356,Critical,258,Coupling Failure
PUMP_0293,Titan-X3,CPF-1,8.71,71.8,146.7,242.8,4731,Critical,298,Bearing Failure
PUMP_0748,Hydra-500,Onshore-Terminal-1,2.94,63.0,143.1,244.7,11610,Normal,6149,Normal
PUMP_0445,Nova-P,CPF-1,2.16,59.9,146.0,249.3,8445,Normal,9000,Normal
PUMP_0753,Atlas-7,CPF-1,1.92,65.1,141.1,244.4,29466,Normal,7987,Normal
PUMP_0884,Atlas-7,Onshore-Terminal-2,5.03,59.5,145.5,255.0,19751,Normal,4545,Rotor Imbalance
PUMP_0427,Titan-X3,Onshore-Terminal-1,4.26,63.1,139.5,245.0,5034,Normal,3310,Coupling Failure
PUMP_0256,Atlas-7,Offshore-Platform-B,4.58,58.9,142.0,264.3,8083,Critical,468,Valve Malfunction
PUMP_0161,Titan-X3,Onshore-Terminal-1,5.8,67.0,129.6,233.8,21245,Critical,349,Corrosion / Wear
PUMP_0627,Hydra-500,Offshore-Platform-A,5.51,64.1,129.8,218.1,22806,Critical,600,Impeller Damage
PUMP_0831,Hydra-500,Onshore-Terminal-1,2.81,83.6,133.1,227.6,6646,Warning,2556,Motor Failure
PUMP_0747,Nova-P,Offshore-Platform-A,1.24,62.2,144.5,246.8,22680,Normal,8771,Normal
PUMP_0077,Hydra-500,CPF-1,2.69,75.5,141.0,247.3,21789,Normal,3923,Overheating
PUMP_0087,Atlas-7,Onshore-Terminal-1,2.45,60.4,146.1,251.0,23860,Normal,8495,Normal
PUMP_0374,Hydra-500,Onshore-Terminal-1,1.99,57.3,144.6,254.6,24953,Normal,6552,Normal
PUMP_0793,Titan-X2,Onshore-Terminal-1,4.08,67.1,146.0,246.7,8889,Warning,1903,Valve Malfunction
PUMP_0087,Atlas-7,Onshore-Terminal-1,2.07,67.0,144.9,246.3,4496,Normal,8399,Normal
PUMP_0783,Atlas-7,CPF-1,2.95,57.2,145.0,256.7,13166,Normal,7193,Normal
PUMP_0424,Nova-P,Onshore-Terminal-2,2.95,62.2,142.5,256.8,3286,Normal,9000,Normal
PUMP_0537,Nova-P,Offshore-Platform-B,2.88,63.5,139.6,241.1,7099,Normal,5949,Seal Failure
PUMP_0504,Titan-X3,Offshore-Platform-A,3.58,63.3,154.9,225.7,5902,Normal,2981,Discharge Blockage
PUMP_0608,Nova-P,Offshore-Platform-B,2.31,54.2,150.0,252.8,18169,Normal,9000,Normal
PUMP_0599,Titan-X2,Offshore-Platform-B,2.63,56.8,140.8,242.8,23335,Normal,6958,Corrosion / Wear
PUMP_0171,Atlas-7,Onshore-Terminal-1,4.37,63.4,135.8,236.2,12363,Warning,1635,Corrosion / Wear
PUMP_0010,Atlas-7,CPF-1,5.28,73.4,140.4,240.0,27905,Warning,989,Lubrication Failure
PUMP_0571,Titan-X3,Onshore-Terminal-2,3.48,62.2,156.1,233.1,1809,Normal,3735,Discharge Blockage
PUMP_0543,Atlas-7,Onshore-Terminal-2,5.52,63.4,142.4,245.5,26235,Warning,2522,Rotor Imbalance
PUMP_0040,Titan-X2,Offshore-Platform-B,6.48,60.7,136.9,241.0,548,Critical,515,Coupling Failure
PUMP_0283,Titan-X2,Onshore-Terminal-1,2.6,61.1,143.1,256.7,9603,Normal,8481,Normal
PUMP_0129,Nova-P,Offshore-Platform-B,8.69,77.9,141.8,245.8,9899,Critical,319,Bearing Failure
PUMP_0120,Atlas-7,CPF-1,5.9,62.4,127.2,207.3,22975,Critical,332,Cavitation
PUMP_0112,Titan-X2,Onshore-Terminal-1,3.7,55.8,136.5,230.1,3417,Normal,3722,Cavitation
PUMP_0142,Hydra-500,Onshore-Terminal-2,2.96,68.4,141.0,242.5,21208,Normal,5206,Motor Failure
PUMP_0545,Titan-X3,CPF-1,1.56,57.6,147.7,244.7,696,Normal,4090,Discharge Blockage
PUMP_0592,Titan-X3,Offshore-Platform-B,2.13,59.9,137.5,249.8,2704,Normal,7886,Normal
PUMP_0348,Titan-X3,Offshore-Platform-B,2.37,57.6,142.4,248.6,28001,Normal,8442,Normal
PUMP_0827,Titan-X2,Onshore-Terminal-2,4.51,62.8,143.9,251.2,12915,Normal,6173,Rotor Imbalance
PUMP_0558,Titan-X3,Offshore-Platform-B,2.35,60.3,142.0,248.2,9854,Normal,8108,Normal
PUMP_0376,Atlas-7,Onshore-Terminal-1,2.96,60.4,134.5,236.9,24054,Normal,4686,Suction Blockage
PUMP_0516,Atlas-7,Onshore-Terminal-1,2.99,59.4,139.6,239.4,17416,Normal,5985,Cavitation
PUMP_0388,Titan-X3,Offshore-Platform-A,3.88,57.1,139.8,231.2,13815,Normal,3222,Impeller Damage
PUMP_0312,Titan-X2,Onshore-Terminal-1,6.61,75.5,146.4,252.6,29741,Warning,2227,Bearing Failure
PUMP_0665,Nova-P,Offshore-Platform-B,2.63,69.4,129.7,233.2,1651,Warning,2152,Seal Failure
PUMP_0393,Hydra-500,Offshore-Platform-B,4.61,64.2,135.4,241.7,2733,Normal,2735,Coupling Failure
PUMP_0227,Titan-X3,Onshore-Terminal-2,3.23,58.7,140.4,254.3,11842,Normal,7660,Normal
PUMP_0706,Nova-P,Onshore-Terminal-2,8.69,75.3,143.8,248.9,29947,Critical,235,Shaft Misalignment
PUMP_0414,Atlas-7,Onshore-Terminal-2,9.79,77.7,145.6,253.9,24088,Critical,226,Bearing Failure
PUMP_0845,Atlas-7,Offshore-Platform-A,3.92,58.3,128.5,228.1,3982,Warning,1391,Impeller Damage
PUMP_0228,Nova-P,Onshore-Terminal-1,7.85,61.9,135.8,233.2,11815,Critical,448,Coupling Failure
PUMP_0487,Hydra-500,Offshore-Platform-B,5.2,70.1,143.7,244.0,2572,Warning,1434,Lubrication Failure
PUMP_0314,Hydra-500,Onshore-Terminal-2,3.15,56.9,142.6,243.7,651,Normal,8473,Cavitation
PUMP_0661,Atlas-7,Offshore-Platform-A,2.45,55.2,146.7,247.0,12527,Normal,7826,Impeller Damage
PUMP_0051,Titan-X2,CPF-1,2.25,62.4,128.9,235.0,19119,Warning,2137,Seal Failure
PUMP_0586,Titan-X3,Onshore-Terminal-2,4.26,58.4,129.4,225.7,7233,Warning,2053,Cavitation
PUMP_0210,Titan-X2,CPF-1,2.33,59.2,147.7,249.0,14869,Normal,8614,Normal
PUMP_0755,Nova-P,CPF-1,3.26,63.4,134.5,225.2,3803,Normal,2600,Suction Blockage
PUMP_0307,Hydra-500,Offshore-Platform-B,2.59,57.7,139.2,258.3,24671,Normal,6932,Normal
PUMP_0081,Titan-X3,Offshore-Platform-B,1.91,56.0,146.6,257.3,29085,Normal,8936,Normal
PUMP_0454,Atlas-7,Onshore-Terminal-2,2.6,70.9,138.5,235.7,16193,Normal,6344,Motor Failure
PUMP_0358,Titan-X3,Offshore-Platform-B,4.74,61.0,121.9,203.7,19374,Critical,441,Suction Blockage
PUMP_0376,Atlas-7,Onshore-Terminal-1,2.95,83.9,147.7,236.9,29914,Warning,2222,Overheating
PUMP_0378,Titan-X2,Onshore-Terminal-1,4.34,58.0,152.8,237.3,12603,Critical,516,Valve Malfunction
PUMP_0404,Titan-X3,Onshore-Terminal-2,2.58,65.9,135.6,234.0,18795,Warning,2474,Seal Failure
PUMP_0183,Nova-P,Onshore-Terminal-2,5.11,65.8,129.4,210.8,5923,Critical,479,Cavitation
PUMP_0668,Titan-X3,Onshore-Terminal-1,2.53,63.0,137.1,237.1,29277,Normal,4618,Seal Failure
PUMP_0126,Nova-P,CPF-1,1.42,66.1,149.3,254.9,24202,Normal,6422,Normal
PUMP_0805,Titan-X2,Onshore-Terminal-2,2.36,59.0,143.4,248.7,24441,Normal,7148,Normal
PUMP_0061,Titan-X3,CPF-1,2.98,59.6,145.8,248.8,26687,Normal,6934,Coupling Failure
PUMP_0462,Atlas-7,CPF-1,3.3,59.5,149.6,252.2,15045,Normal,7624,Normal
PUMP_0619,Atlas-7,Offshore-Platform-B,2.09,65.4,148.9,254.8,19954,Normal,8614,Normal
PUMP_0812,Titan-X3,Offshore-Platform-B,4.3,68.2,125.9,219.9,28112,Warning,1496,Suction Blockage
PUMP_0733,Titan-X3,CPF-1,5.14,73.8,140.2,242.5,16355,Warning,1122,Lubrication Failure
PUMP_0889,Atlas-7,Offshore-Platform-B,4.17,61.2,137.9,242.1,32387,Warning,2442,Corrosion / Wear
PUMP_0803,Nova-P,Onshore-Terminal-1,2.02,64.8,145.5,255.7,16605,Normal,7928,Normal
PUMP_0590,Titan-X3,Offshore-Platform-B,2.71,61.8,146.0,252.7,4029,Normal,6573,Normal
PUMP_0639,Titan-X2,Onshore-Terminal-1,3.76,63.5,158.1,237.2,18546,Normal,5076,Discharge Blockage
PUMP_0447,Hydra-500,Onshore-Terminal-2,3.31,90.0,126.9,214.5,24647,Warning,1436,Motor Failure
PUMP_0748,Hydra-500,Onshore-Terminal-1,2.11,57.8,144.9,250.7,25281,Normal,8715,Normal
PUMP_0455,Nova-P,Offshore-Platform-A,5.12,63.2,123.1,212.8,10482,Warning,948,Cavitation
PUMP_0204,Titan-X2,CPF-1,2.16,65.5,136.4,230.8,25342,Normal,4778,Suction Blockage
PUMP_0609,Titan-X3,Onshore-Terminal-2,4.5,68.6,164.1,215.6,12900,Warning,854,Discharge Blockage
PUMP_0604,Atlas-7,Offshore-Platform-A,4.92,65.0,127.2,218.2,17234,Warning,1871,Suction Blockage
PUMP_0218,Atlas-7,Offshore-Platform-B,5.47,61.6,136.8,242.8,16717,Warning,862,Corrosion / Wear
PUMP_0669,Titan-X3,Onshore-Terminal-2,2.58,60.9,143.1,248.3,15213,Normal,6573,Lubrication Failure
PUMP_0892,Titan-X2,Onshore-Terminal-2,5.1,73.8,147.4,244.8,19753,Warning,1856,Lubrication Failure
PUMP_0581,Atlas-7,CPF-1,6.17,61.1,141.5,235.7,15336,Warning,1060,Coupling Failure
PUMP_0612,Nova-P,Offshore-Platform-A,5.96,60.4,124.1,219.5,8248,Critical,460,Impeller Damage
PUMP_0478,Atlas-7,Onshore-Terminal-1,3.08,63.4,124.9,227.1,27682,Warning,1347,Seal Failure
PUMP_0701,Nova-P,Offshore-Platform-A,3.67,61.1,150.3,252.4,11024,Normal,4937,Valve Malfunction
PUMP_0678,Atlas-7,Onshore-Terminal-1,2.64,60.2,148.8,252.8,11259,Normal,5950,Valve Malfunction
PUMP_0184,Titan-X2,Offshore-Platform-B,4.45,63.8,145.3,253.7,13126,Normal,3073,Lubrication Failure
PUMP_0377,Titan-X2,Onshore-Terminal-1,5.9,82.0,140.1,253.4,5687,Warning,930,Lubrication Failure
PUMP_0867,Titan-X3,Offshore-Platform-B,3.37,60.3,141.8,236.5,2027,Normal,2660,Cavitation
PUMP_0006,Titan-X3,Onshore-Terminal-1,3.73,56.4,140.8,250.4,18499,Normal,2600,Valve Malfunction
PUMP_0848,Atlas-7,Offshore-Platform-A,4.22,92.8,122.3,204.2,10183,Warning,784,Motor Failure
PUMP_0169,Hydra-500,Offshore-Platform-A,5.59,64.0,144.5,246.0,13291,Warning,2295,Rotor Imbalance
PUMP_0155,Nova-P,CPF-1,3.0,91.2,140.0,242.8,20734,Warning,1581,Overheating
PUMP_0731,Titan-X2,Offshore-Platform-B,2.54,61.1,143.9,252.3,8538,Normal,7274,Normal
PUMP_0229,Nova-P,Offshore-Platform-B,4.4,73.7,146.1,247.2,8295,Warning,2409,Lubrication Failure
PUMP_0006,Titan-X3,Onshore-Terminal-1,2.35,60.3,144.9,251.2,26635,Normal,7366,Normal
PUMP_0522,Atlas-7,Onshore-Terminal-2,4.71,60.4,130.8,235.9,5885,Warning,1456,Corrosion / Wear
PUMP_0124,Nova-P,Onshore-Terminal-2,2.42,63.1,145.4,251.3,10138,Normal,9000,Normal
PUMP_0725,Titan-X2,Offshore-Platform-B,2.45,62.7,140.5,251.1,2220,Normal,7346,Normal
PUMP_0446,Titan-X2,Onshore-Terminal-2,4.31,60.9,138.0,217.4,20618,Warning,830,Cavitation
PUMP_0067,Titan-X3,Onshore-Terminal-1,4.7,62.7,127.2,218.9,19985,Warning,1294,Cavitation
PUMP_0802,Hydra-500,CPF-1,1.85,67.9,137.9,243.2,4440,Normal,7807,Normal
PUMP_0366,Nova-P,CPF-1,10.03,79.8,146.9,241.0,31155,Critical,105,Shaft Misalignment
PUMP_0234,Titan-X2,Onshore-Terminal-1,4.05,64.4,126.0,229.0,23314,Warning,2043,Impeller Damage
PUMP_0477,Titan-X3,Onshore-Terminal-2,5.68,78.6,147.9,242.5,3382,Critical,274,Lubrication Failure
PUMP_0071,Titan-X2,Offshore-Platform-A,3.68,65.6,132.0,216.1,4003,Warning,1354,Cavitation
PUMP_0059,Titan-X2,Onshore-Terminal-2,3.36,59.1,145.3,252.7,2352,Normal,6805,Normal
